id,campaignId,date,spend,impressions,clicks,orders,attributedRevenue,roas
NOVA-CP-009,NOVA-CAM-003,2026-05-02,60.43,9959,766,7,221.47,3.66
NOVA-CP-007,NOVA-CAM-003,2026-05-03,53.49,5761,227,5,195.95,3.66
NOVA-CP-010,NOVA-CAM-004,2026-05-04,279.34,22712,153,4,798.88,2.86
NOVA-CP-005,NOVA-CAM-002,2026-05-05,172.93,30014,989,6,353.71,2.05
NOVA-CP-011,NOVA-CAM-004,2026-05-10,223.95,3003,478,5,716.19,3.2
NOVA-CP-006,NOVA-CAM-002,2026-05-19,104.89,23758,1222,10,244.91,2.33
NOVA-CP-003,NOVA-CAM-001,2026-05-20,286.4,25504,72,3,1192.75,4.16
NOVA-CP-012,NOVA-CAM-004,2026-05-22,331.52,19245,652,6,1227.3,3.7
NOVA-CP-001,NOVA-CAM-001,2026-05-25,258.21,4220,1307,11,859.35,3.33
NOVA-CP-002,NOVA-CAM-001,2026-05-27,299.1,14323,619,12,658.72,2.2
NOVA-CP-004,NOVA-CAM-002,2026-05-28,162.67,43995,122,2,261.7,1.61
NOVA-CP-008,NOVA-CAM-003,2026-05-29,70.47,42285,965,7,188.3,2.67
