id,productId,customerId,orderDate,marketplace,status,quantity,unitPrice,grossAmount,discountRate,commissionAmount,shippingCost,paymentMethod
NOVA-ORD-010,NOVA-PRD-004,NOVA-CUS-009,2026-05-01,Amazon TR,completed,1,449.0,449.0,0,69.59,44.0,card
NOVA-ORD-031,NOVA-PRD-001,NOVA-CUS-005,2026-05-01,Trendyol,shipped,2,664.05,1328.1,0.05,212.5,104.0,installment_card
NOVA-ORD-040,NOVA-PRD-005,NOVA-CUS-008,2026-05-01,N11,shipped,1,249.0,249.0,0,34.86,34.0,card
NOVA-ORD-050,NOVA-PRD-002,NOVA-CUS-014,2026-05-01,Hepsiburada,completed,1,1019.15,1019.15,0.15,173.26,98.0,card
NOVA-ORD-018,NOVA-PRD-004,NOVA-CUS-008,2026-05-02,Hepsiburada,completed,1,449.0,449.0,0,69.59,44.0,installment_card
NOVA-ORD-046,NOVA-PRD-002,NOVA-CUS-006,2026-05-02,Amazon TR,completed,2,1019.15,2038.3,0.15,346.51,196.0,card
NOVA-ORD-037,NOVA-PRD-004,NOVA-CUS-008,2026-05-03,Hepsiburada,completed,1,449.0,449.0,0,69.59,44.0,card
NOVA-ORD-048,NOVA-PRD-001,NOVA-CUS-004,2026-05-03,Hepsiburada,completed,1,629.1,629.1,0.1,100.66,52.0,card
NOVA-ORD-009,NOVA-PRD-001,NOVA-CUS-008,2026-05-04,Trendyol,cancelled,1,594.15,594.15,0.15,95.06,52.0,installment_card
NOVA-ORD-042,NOVA-PRD-001,NOVA-CUS-008,2026-05-04,Trendyol,completed,3,699.0,2097.0,0,335.52,156.0,installment_card
NOVA-ORD-035,NOVA-PRD-005,NOVA-CUS-003,2026-05-07,Hepsiburada,completed,1,236.55,236.55,0.05,33.12,34.0,wallet
NOVA-ORD-047,NOVA-PRD-005,NOVA-CUS-011,2026-05-07,Trendyol,completed,2,249.0,498.0,0,69.72,68.0,wallet
NOVA-ORD-045,NOVA-PRD-001,NOVA-CUS-008,2026-05-08,N11,completed,1,664.05,664.05,0.05,106.25,52.0,installment_card
NOVA-ORD-027,NOVA-PRD-001,NOVA-CUS-008,2026-05-09,Trendyol,shipped,1,699.0,699.0,0,111.84,52.0,wallet
NOVA-ORD-049,NOVA-PRD-002,NOVA-CUS-001,2026-05-09,Hepsiburada,cancelled,1,1079.1,1079.1,0.1,183.45,98.0,installment_card
NOVA-ORD-006,NOVA-PRD-004,NOVA-CUS-002,2026-05-11,N11,completed,1,426.55,426.55,0.05,66.12,44.0,wallet
NOVA-ORD-030,NOVA-PRD-005,NOVA-CUS-010,2026-05-12,N11,cancelled,1,236.55,236.55,0.05,33.12,34.0,wallet
NOVA-ORD-016,NOVA-PRD-005,NOVA-CUS-010,2026-05-13,Hepsiburada,shipped,3,249.0,747.0,0,104.58,102.0,wallet
NOVA-ORD-023,NOVA-PRD-005,NOVA-CUS-002,2026-05-14,Trendyol,completed,3,211.65,634.95,0.15,88.89,102.0,installment_card
NOVA-ORD-008,NOVA-PRD-003,NOVA-CUS-011,2026-05-15,Trendyol,completed,1,284.05,284.05,0.05,42.61,39.0,installment_card
NOVA-ORD-012,NOVA-PRD-002,NOVA-CUS-004,2026-05-15,Hepsiburada,completed,1,1139.05,1139.05,0.05,193.64,98.0,installment_card
NOVA-ORD-028,NOVA-PRD-005,NOVA-CUS-002,2026-05-15,N11,cancelled,1,249.0,249.0,0,34.86,34.0,wallet
NOVA-ORD-004,NOVA-PRD-005,NOVA-CUS-002,2026-05-16,N11,completed,1,236.55,236.55,0.05,33.12,34.0,wallet
NOVA-ORD-020,NOVA-PRD-002,NOVA-CUS-002,2026-05-16,N11,completed,1,1199.0,1199.0,0,203.83,98.0,installment_card
NOVA-ORD-044,NOVA-PRD-001,NOVA-CUS-014,2026-05-16,Amazon TR,shipped,1,699.0,699.0,0,111.84,52.0,wallet
NOVA-ORD-003,NOVA-PRD-004,NOVA-CUS-008,2026-05-17,Amazon TR,shipped,1,449.0,449.0,0,69.59,44.0,card
NOVA-ORD-019,NOVA-PRD-002,NOVA-CUS-002,2026-05-17,Amazon TR,completed,1,1139.05,1139.05,0.05,193.64,98.0,card
NOVA-ORD-025,NOVA-PRD-002,NOVA-CUS-004,2026-05-17,Amazon TR,completed,1,1199.0,1199.0,0,203.83,98.0,card
NOVA-ORD-015,NOVA-PRD-003,NOVA-CUS-013,2026-05-18,Amazon TR,completed,1,269.1,269.1,0.1,40.37,39.0,wallet
NOVA-ORD-034,NOVA-PRD-003,NOVA-CUS-001,2026-05-19,N11,completed,1,284.05,284.05,0.05,42.61,39.0,card
