id,marketplace,orderId,periodStart,periodEnd,grossAmount,commissionFee,shippingFee,returnDeduction,campaignDeduction,serviceFee,expectedNetAmount,paidAmount,payoutDate,status
NOVA-SET-001,Hepsiburada,NOVA-ORD-048,2026-05-01,2026-05-08,629.1,100.66,55.82,0.0,0.0,37.02,435.6,452.54,2026-05-25,matched
NOVA-SET-002,Amazon TR,NOVA-ORD-010,2026-05-01,2026-05-06,449.0,69.59,37.73,0.0,22.45,48.27,270.96,276.1,2026-05-30,matched
NOVA-SET-003,Amazon TR,NOVA-ORD-043,2026-05-21,2026-05-28,594.15,95.06,57.51,0.0,0.0,37.52,404.06,436.69,2026-05-21,matched
NOVA-SET-004,Hepsiburada,NOVA-ORD-026,2026-05-20,2026-05-27,664.05,106.25,60.87,232.42,53.12,64.42,146.97,176.35,2026-05-20,matched
NOVA-SET-005,N11,NOVA-ORD-045,2026-05-06,2026-05-13,664.05,106.25,53.28,0.0,0.0,39.45,465.07,0,2026-05-25,delayed
NOVA-SET-006,Trendyol,NOVA-ORD-042,2026-05-02,2026-05-09,2097.0,335.52,165.3,314.55,104.85,58.99,1117.79,1098.3,2026-05-31,matched
NOVA-SET-007,Amazon TR,NOVA-ORD-015,2026-05-16,2026-05-23,269.1,40.37,35.77,94.19,0.0,45.43,53.34,31.91,2026-05-31,matched
NOVA-SET-008,Amazon TR,NOVA-ORD-017,2026-05-24,2026-05-31,1188.3,190.13,102.93,0.0,0.0,18.48,876.76,859.68,2026-05-21,matched
NOVA-SET-009,Hepsiburada,NOVA-ORD-016,2026-05-11,2026-05-18,747.0,104.58,111.28,0.0,0.0,71.93,459.21,468.17,2026-05-26,matched
NOVA-SET-010,Amazon TR,NOVA-ORD-013,2026-05-23,2026-05-30,598.0,89.7,89.84,209.3,47.84,54.91,106.41,133.15,2026-05-29,matched
